SEVERITYCODE,X,Y,OBJECTID,INCKEY,COLDETKEY,REPORTNO,STATUS,ADDRTYPE,INTKEY,LOCATION,EXCEPTRSNCODE,EXCEPTRSNDESC,SEVERITYCODE,SEVERITYDESC,COLLISIONTYPE,PERSONCOUNT,PEDCOUNT,PEDCYLCOUNT,VEHCOUNT,INCDATE,INCDTTM,JUNCTIONTYPE,SDOT_COLCODE,SDOT_COLDESC,INATTENTIONIND,UNDERINFL,WEATHER,ROADCOND,LIGHTCOND,PEDROWNOTGRNT,SDOTCOLNUM,SPEEDING,ST_COLCODE,ST_COLDESC,SEGLANEKEY,CROSSWALKKEY,HITPARKEDCAR
2,-122.3231484,47.70314032,1,1307,1307,3502005,Matched,Intersection,37475,5TH AVE NE AND NE 103RD ST, ,,2,Injury Collision,Angles,2,0,0,2,2013/03/27 00:00:00+00,3/27/2013 2:54:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Overcast,Wet,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3472943,47.64717249,2,52200,52200,2607959,Matched,Block,,AURORA BR BETWEEN RAYE ST AND BRIDGE WAY N,,,1,Property Damage Only Collision,Sideswipe,2,0,0,2,2006/12/20 00:00:00+00,12/20/2006 6:55:00 PM,Mid-Block (not related to intersection),16,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, LEFT SIDE SIDESWIPE",,0,Raining,Wet,Dark - Street Lights On,,6354039,,11,From same direction - both going straight - both moving - sideswipe,0,0,N
1,-122.33454,47.60787143,3,26700,26700,1482393,Matched,Block,,4TH AVE BETWEEN SENECA ST AND UNIVERSITY ST,,,1,Property Damage Only Collision,Parked Car,4,0,0,3,2004/11/18 00:00:00+00,11/18/2004 10:20:00 AM,Mid-Block (not related to intersection),14,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, REAR END",,0,Overcast,Dry,Daylight,,4323031,,32,One parked--one moving,0,0,N
1,-122.3348033,47.60480289,4,1144,1144,3503937,Matched,Block,,2ND AVE BETWEEN MARION ST AND MADISON ST, ,,1,Property Damage Only Collision,Other,3,0,0,3,2013/03/29 00:00:00+00,3/29/2013 9:26:00 AM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,23,From same direction - all others,0,0,N
2,-122.3064263,47.54573946,5,17700,17700,1807429,Matched,Intersection,34387,SWIFT AVE S AND SWIFT AV OFF RP,,,2,Injury Collision,Angles,2,0,0,2,2004/01/28 00:00:00+00,1/28/2004 8:04:00 AM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,,4028032,,10,Entering at angle,0,0,N
1,-122.3875981,47.69057545,6,320840,322340,E919477,Matched,Intersection,36974,24TH AVE NW AND NW 85TH ST, ,,1,Property Damage Only Collision,Angles,2,0,0,2,2019/04/20 00:00:00+00,4/20/2019 5:42:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,N,Clear,Dry,Daylight,,,,10,Entering at angle,0,0,N
1,-122.3384846,47.61853427,7,83300,83300,3282542,Matched,Intersection,29510,DENNY WAY AND WESTLAKE AVE,,,1,Property Damage Only Collision,Angles,2,0,0,2,2008/12/09 00:00:00+00,12-09-2008,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Raining,Wet,Daylight,,8344002,,10,Entering at angle,0,0,N
2,-122.3207804,47.61407567,9,330897,332397,EA30304,Matched,Intersection,29745,BROADWAY AND E PIKE ST, ,,2,Injury Collision,Cycles,3,0,1,1,2020/04/15 00:00:00+00,4/15/2020 5:47:00 PM,At Intersection (intersection related),51,PEDALCYCLIST STRUCK MOTOR VEHICLE FRONT END AT ANGLE,,N,Clear,Dry,Daylight,,,,5,Vehicle Strikes Pedalcyclist,6855,0,N
1,-122.3359303,47.61190352,10,63400,63400,2071243,Matched,Block,,PINE ST BETWEEN 5TH AVE AND 6TH AVE,,,1,Property Damage Only Collision,Parked Car,2,0,0,2,2006/06/15 00:00:00+00,6/15/2006 1:00:00 PM,Mid-Block (not related to intersection),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6166014,,32,One parked--one moving,0,0,N
2,-122.3847002,47.52847544,12,58600,58600,2072105,Matched,Intersection,34679,41ST AVE SW AND SW THISTLE ST,,,2,Injury Collision,Angles,2,0,0,2,2006/03/20 00:00:00+00,3/20/2006 3:49:00 PM,At Intersection (intersection related),11,"MOTOR VEHICLE STRUCK MOTOR VEHICLE, FRONT END AT ANGLE",,0,Clear,Dry,Daylight,,6079001,,10,Entering at angle,0,0,N
